original_id,consensus_id
BORTEZOMIB,572
NSC-681239,572
Bortezomib,572
Bortezomib ,572
Bortezomib (PS-341),572
bortezomib,572
BOSUTINIB,573
Bosutinib ,573
Bosutinib,573
bosutinib,573
Bosutinib (SKI-606),573
BP-1-102,574
BPD-00008900,575
BPIQ-II,576
BPR1J-097,577
BRD9876,578
BRD 9876,578
BRD-A02303741,579
BRD-A02303741:carboplatin (1:1 mol/mol),580
BRD-A02303741:navitoclax (2:1 mol/mol),581
BRD-A05715709,582
BRD-A71883111,583
BRD-A86708339,584
BRD-A94377914,585
BRD-K01737880,586
BRD-K02251932,587
BRD-K02492147,588
BRD-K03536150,589
BRD-K03911514,590
BRD-K04800985,591
BRD-K09344309,592
BRD-K09587429,593
BRD-K11533227,594
BRD-K13185470,595
BRD-K13999467,596
BRD-K14844214,597
BRD-K16130065,598
BRD-K16147474,599
BRD-K17060750,600
BRD-K19103580,601
BRD-K20514654,602
BRD-K24690302,603
BRD-K26531177,604
BRD-K27188169,605
BRD-K27188169:navitoclax (2:1 mol/mol),606
BRD-K27224038,607
BRD-K27986637,608
BRD-K28456706,609
BRD-K29086754,610
BRD-K29313308,611
BRD-K30019337,612
BRD-K30748066,613
BRD-K33199242,614
BRD-K33514849,615
BRD-K34099515,616
BRD-K34222889,617
BRD-K34485477,618
BRD-K35604418,619
BRD-K37390332,620
BRD-K41334119,621
BRD-K41597374,622
BRD-K42260513,623
BRD-K44224150,624
BRD-K45681478,625
BRD-K48334597,626
BRD-K48477130,627
BRD-K49290616,628
BRD-K50799972,629
BRD-K51490254,630
BRD-K51831558,631
BRD-K52037352,632
BRD-K55116708,633
BRD-K55473186,634
BRD-K58730230,635
BRD-K61166597,636
BRD-K63431240,637
BRD-K64610608,638
BRD-K66453893,639
BRD-K66532283,640
BRD-K70511574 (HMN-214),641
HMN-214,641
BRD-K70511574,641
BRD-K71781559,642
BRD-K71935468,643
BRD-K75293299,644
BRD-K78574327,645
BRD-K79669418,646
BRD-K80183349,647
BRD-K84807411,648
BRD-K85133207,649
BRD-K86535717,650
PCI-34051,651
BRD-K88742110,651
BRD-K90370028,652
BRD-K92856060,653
BRD-K94991378,654
BRD-K96431673,655
BRD-K96970199,656
BRD-K97651142,657
BRD-K99006945,658
BRD-K99584050,659
BRD-M00053801,660
BRD1429,661
BRD1812,662
BRD1835,663
BRD4132,664
BRD4354,665
BRD4770,666
BRD55319,667
BRD6340,668
BRD63610,669
BRD6368,670
BRD7116,671
BRD7137,672
BRD73954,673
BRD8899,674
BRD8958,675
BRD9647,676
BRD9876:MK-1775 (4:1 mol/mol),677
Brefeldin A,678
brefeldin A,678
BREFELDIN A,678
Brivanib ,679
BRIVANIB,679
Brivanib,679
brivanib,679
Brivanib (BMS-540215),679
Bryostatin 1,680
BRYOSTATIN 1,680
BS-181 HCl,681
BS-181,681
BSI-201,682
Iniparib (BSI-201),682
Iniparib ,682
Iniparib,682
Busulfan,683
NSC-750,683
Busulfan ,683
BUSULFAN,683
BVD-523,684
Ulixertinib,684
"Ulixertinib (BVD-523, VRT752271)",684
BX-795,685
BX 795,685
BX795,685
BX 912,686
BX912,686
BX-912,686
BYL-719(Alpelisib),687
Bacitracin,688
Baclofen,689
Baicalein,690
Baicalin,691
Balicatib,692
Balofloxacin,693
Balsalazide Sodium,694
Bambuterol hydrochloride,695
Baricitinib (Phosphate),696
"Baricitinib (LY3009104, INCB028050)",696
Baricitinib,696
Bazedoxifene acetate,697
Beclamide,698
Beclomethasone dipropionate,699
Bedaquiline(TMC207; R207910),700
Behenic alcohol,701
Belzutifan,702
Benactyzine hydrochloride,703
Benazepril hydrochloride,704
Bendazac L-lysine,705
Bendazol,706
Bendroflumethiazide,707
Benfluorex hydrochloride,708
Benfotiamine,709
Bengenin,710
